train_acc=	0.531292984869326	 test_acc=	0.5305841924398625	 loss=	2.0705068111419678
train_acc=	0.7450137551581844	 test_acc=	0.7223367697594502	 loss=	0.5258980393409729
train_acc=	0.8414718019257221	 test_acc=	0.8178694158075601	 loss=	0.26827386021614075
train_acc=	0.8521320495185695	 test_acc=	0.8233676975945017	 loss=	0.7980991005897522
train_acc=	0.9045735900962861	 test_acc=	0.8714776632302406	 loss=	0.775311291217804
train_acc=	0.9037138927097662	 test_acc=	0.8735395189003436	 loss=	0.05640832334756851
train_acc=	0.9300206327372765	 test_acc=	0.874914089347079	 loss=	0.6882133483886719
train_acc=	0.9552957359009628	 test_acc=	0.9243986254295533	 loss=	0.13974440097808838
train_acc=	0.9434319119669876	 test_acc=	0.9099656357388316	 loss=	0.13898184895515442
train_acc=	0.9613136176066025	 test_acc=	0.9298969072164949	 loss=	0.9660264253616333
train_acc=	0.9589064649243466	 test_acc=	0.9333333333333333	 loss=	0.7033774256706238
train_acc=	0.9446354883081155	 test_acc=	0.9106529209621993	 loss=	0.1486928015947342
train_acc=	0.9711141678129298	 test_acc=	0.947766323024055	 loss=	0.11420782655477524
train_acc=	0.9601100412654745	 test_acc=	0.9264604810996564	 loss=	0.03632037341594696
train_acc=	0.9528885832187071	 test_acc=	0.9072164948453608	 loss=	0.48523494601249695
train_acc=	0.9776478679504814	 test_acc=	0.9553264604810997	 loss=	0.6723132133483887
train_acc=	0.9750687757909215	 test_acc=	0.9395189003436426	 loss=	0.18774919211864471
train_acc=	0.9645804676753783	 test_acc=	0.9243986254295533	 loss=	0.16954965889453888
train_acc=	0.984353507565337	 test_acc=	0.9505154639175257	 loss=	0.01866953819990158
train_acc=	0.984697386519945	 test_acc=	0.9525773195876288	 loss=	0.20437219738960266
train_acc=	0.9814305364511692	 test_acc=	0.9512027491408934	 loss=	0.11326703429222107
train_acc=	0.9826341127922971	 test_acc=	0.9553264604810997	 loss=	0.013492736965417862
train_acc=	0.9659559834938102	 test_acc=	0.931958762886598	 loss=	0.0019344964530318975
train_acc=	0.9800550206327373	 test_acc=	0.9463917525773196	 loss=	0.7774009704589844
train_acc=	0.9864167812929848	 test_acc=	0.9491408934707903	 loss=	0.32335805892944336
train_acc=	0.9807427785419532	 test_acc=	0.9532646048109966	 loss=	0.03204729035496712
train_acc=	0.9867606602475929	 test_acc=	0.961512027491409	 loss=	0.21133284270763397
train_acc=	0.9757565337001376	 test_acc=	0.9457044673539519	 loss=	0.1690082997083664
train_acc=	0.9824621733149931	 test_acc=	0.9443298969072165	 loss=	0.011295796371996403
train_acc=	0.9864167812929848	 test_acc=	0.9518900343642611	 loss=	0.19837716221809387
train_acc=	0.9888239339752407	 test_acc=	0.9573883161512028	 loss=	0.004403827711939812
train_acc=	0.9867606602475929	 test_acc=	0.9628865979381444	 loss=	0.04402024671435356
train_acc=	0.9898555708390646	 test_acc=	0.9628865979381444	 loss=	0.5544695854187012
train_acc=	0.9936382393397524	 test_acc=	0.9642611683848797	 loss=	0.0028234084602445364
train_acc=	0.9960453920220083	 test_acc=	0.9697594501718213	 loss=	0.20479591190814972
train_acc=	0.9927785419532325	 test_acc=	0.961512027491409	 loss=	0.01588635891675949
train_acc=	0.9888239339752407	 test_acc=	0.9539518900343643	 loss=	0.26211342215538025
train_acc=	0.9822902338376891	 test_acc=	0.9415807560137457	 loss=	0.08892225474119186
train_acc=	0.9963892709766162	 test_acc=	0.970446735395189	 loss=	0.001424623653292656
train_acc=	0.9903713892709766	 test_acc=	0.9608247422680413	 loss=	0.0016704362351447344
train_acc=	0.9934662998624484	 test_acc=	0.9608247422680413	 loss=	0.001766387838870287
train_acc=	0.9951856946354883	 test_acc=	0.9621993127147767	 loss=	0.00220530410297215
train_acc=	0.9936382393397524	 test_acc=	0.9587628865979382	 loss=	0.0014189849607646465
train_acc=	0.9872764786795049	 test_acc=	0.9518900343642611	 loss=	0.08041278272867203
train_acc=	0.9963892709766162	 test_acc=	0.9601374570446736	 loss=	0.007127691060304642
train_acc=	0.9927785419532325	 test_acc=	0.9683848797250859	 loss=	0.17033429443836212
train_acc=	0.9989683631361761	 test_acc=	0.9725085910652921	 loss=	0.004616659600287676
train_acc=	0.9877922971114168	 test_acc=	0.9512027491408934	 loss=	0.1378399133682251
train_acc=	0.9896836313617606	 test_acc=	0.9587628865979382	 loss=	0.21487540006637573
train_acc=	0.9561554332874828	 test_acc=	0.9278350515463918	 loss=	3.470339652267285e-05
train_acc=	0.9871045392022009	 test_acc=	0.9484536082474226	 loss=	0.05629894137382507
train_acc=	0.9881361760660248	 test_acc=	0.9608247422680413	 loss=	0.0008039314416237175
train_acc=	0.9984525447042641	 test_acc=	0.9676975945017182	 loss=	0.00025256964727304876
train_acc=	0.9938101788170564	 test_acc=	0.9621993127147767	 loss=	0.00623084232211113
train_acc=	0.9888239339752407	 test_acc=	0.9594501718213059	 loss=	0.23388850688934326
train_acc=	0.9962173314993122	 test_acc=	0.9711340206185567	 loss=	0.47672131657600403
train_acc=	0.9936382393397524	 test_acc=	0.9587628865979382	 loss=	0.03480461984872818
train_acc=	0.9977647867950481	 test_acc=	0.9718213058419244	 loss=	0.003209413029253483
train_acc=	0.9939821182943603	 test_acc=	0.9649484536082474	 loss=	0.012677493505179882
train_acc=	0.9950137551581844	 test_acc=	0.9656357388316151	 loss=	0.000533250451553613
train_acc=	0.9919188445667125	 test_acc=	0.9628865979381444	 loss=	0.0002740127965807915
train_acc=	0.9969050894085282	 test_acc=	0.9663230240549828	 loss=	0.11090797185897827
train_acc=	0.9965612104539202	 test_acc=	0.9683848797250859	 loss=	0.009304760955274105
train_acc=	0.9893397524071527	 test_acc=	0.9587628865979382	 loss=	0.01951167918741703
train_acc=	0.9957015130674003	 test_acc=	0.9731958762886598	 loss=	0.07288936525583267
train_acc=	0.9812585969738652	 test_acc=	0.9491408934707903	 loss=	0.0004017981991637498
train_acc=	0.9950137551581844	 test_acc=	0.9711340206185567	 loss=	0.008438201621174812
train_acc=	0.9984525447042641	 test_acc=	0.9725085910652921	 loss=	0.017704445868730545
train_acc=	0.9975928473177441	 test_acc=	0.9718213058419244	 loss=	0.020672360435128212
train_acc=	0.9967331499312242	 test_acc=	0.9718213058419244	 loss=	0.03039008006453514
train_acc=	0.9924346629986245	 test_acc=	0.961512027491409	 loss=	0.0027631022967398167
train_acc=	0.9963892709766162	 test_acc=	0.9601374570446736	 loss=	0.22781100869178772
train_acc=	0.9901994497936726	 test_acc=	0.9608247422680413	 loss=	0.4609152674674988
train_acc=	0.9987964236588721	 test_acc=	0.9711340206185567	 loss=	0.010915803723037243
train_acc=	0.9886519944979367	 test_acc=	0.9628865979381444	 loss=	0.05170797184109688
train_acc=	0.9987964236588721	 test_acc=	0.9718213058419244	 loss=	0.0004507458070293069
train_acc=	0.9974209078404401	 test_acc=	0.9642611683848797	 loss=	0.01200620736926794
train_acc=	0.9786795048143053	 test_acc=	0.947766323024055	 loss=	0.30461084842681885
train_acc=	0.9987964236588721	 test_acc=	0.9745704467353952	 loss=	0.0002050235343631357
train_acc=	0.9963892709766162	 test_acc=	0.9663230240549828	 loss=	0.0012543598422780633
train_acc=	0.9865887207702888	 test_acc=	0.9567010309278351	 loss=	0.13636676967144012
train_acc=	0.9901994497936726	 test_acc=	0.9649484536082474	 loss=	0.00030179761233739555
train_acc=	0.9969050894085282	 test_acc=	0.9697594501718213	 loss=	0.046094026416540146
train_acc=	0.9982806052269602	 test_acc=	0.9745704467353952	 loss=	0.0017008946742862463
train_acc=	0.9987964236588721	 test_acc=	0.970446735395189	 loss=	0.04639408737421036
train_acc=	0.9963892709766162	 test_acc=	0.970446735395189	 loss=	0.8900993466377258
train_acc=	0.9951856946354883	 test_acc=	0.9683848797250859	 loss=	0.0068143876269459724
train_acc=	0.9972489683631361	 test_acc=	0.970446735395189	 loss=	0.0031595975160598755
train_acc=	0.9960453920220083	 test_acc=	0.9683848797250859	 loss=	0.06141011044383049
train_acc=	0.9963892709766162	 test_acc=	0.9752577319587629	 loss=	0.007062499411404133
train_acc=	0.9975928473177441	 test_acc=	0.9711340206185567	 loss=	0.007320963777601719
train_acc=	0.9951856946354883	 test_acc=	0.9738831615120275	 loss=	0.45143911242485046
train_acc=	0.9984525447042641	 test_acc=	0.9745704467353952	 loss=	0.00013751165533903986
train_acc=	0.9960453920220083	 test_acc=	0.9725085910652921	 loss=	0.02021910808980465
train_acc=	0.9946698762035764	 test_acc=	0.970446735395189	 loss=	0.004421377554535866
train_acc=	0.9993122420907841	 test_acc=	0.979381443298969	 loss=	9.499871521256864e-05
train_acc=	0.9910591471801926	 test_acc=	0.949828178694158	 loss=	0.09757286310195923
train_acc=	0.9738651994497937	 test_acc=	0.931958762886598	 loss=	0.07825617492198944
train_acc=	0.999484181568088	 test_acc=	0.977319587628866	 loss=	0.002310010604560375
train_acc=	0.999656121045392	 test_acc=	0.9718213058419244	 loss=	5.58788860871573e-06
